,宫门,后殿,正殿,配殿,耳房,庑房
外朝官署政务区,三交六椀菱花,三交六椀菱花,三交六椀菱花,三交六椀菱花,双交四椀菱花,双交四椀菱花（80%），斜方格（20%）
内廷帝后生活区,正方格（50%），斜方格（25%），步步锦（25%）,步步锦（75%），双交四椀菱花（25%）,三交六椀菱花（38%），双交四椀菱花（38%），步步锦（12%），其他（12%）,双交四椀菱花（29%），步步锦（29%），一马三箭（14%），斜方格（14%），正方格（14%）,玻璃心屉（67%），步步锦（33%）,步步锦（43%），斜方格（25%），双交四椀菱花（8%），正方格（8%），一马三箭（8%），玻璃心屉（8%）
后宫嫔妃生活区,,玻璃心屉（41%），步步锦（25%），双交四椀菱花（17%），其他（17%）,双交四椀菱花（42%），玻璃心屉（34%），斜方格（8%），正方格（8%），步步锦（8%）,玻璃心屉（45%），步步锦（18%），正方格（14%），一马三箭（9%），其他（9%），斜方格（5%）,步步锦（58%），一马三箭（34%），玻璃心屉（8%）,
御苑游赏休闲区,,,步步锦（34%），三交六椀菱花（18%），其他（18%），正方格（12%），玻璃心屉（12%），斜方格（6%）,正方格（50%），斜方格（50%）,,
